,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Type
1139,2.0,7.377237928537e-312,7.37723792893e-312,7.377237929327e-312,7.377237929723e-312,7.37723793012e-312,7.377237930513e-312,7.37723793091e-312,7.377237931304e-312,7.3772379317e-312
1140,2.0,7.37723793249e-312,7.377237932885e-312,7.37723793328e-312,7.377237933675e-312,7.37723793407e-312,7.377237934466e-312,7.37723793486e-312,7.377237935256e-312,7.37723793565e-312
1141,2.0,7.37723793644e-312,7.377237936837e-312,7.37723793723e-312,7.37723793763e-312,7.377237938023e-312,7.37723793842e-312,7.377237938813e-312,7.37723793921e-312,7.377237939604e-312
1142,2.0,7.377237940394e-312,7.37723794079e-312,7.377237941185e-312,7.37723794158e-312,7.377237941975e-312,7.37723794237e-312,7.377237942766e-312,7.37723794316e-312,7.377237943556e-312
1143,2.0,7.377237944347e-312,7.37723794474e-312,7.377237945137e-312,7.377237945533e-312,7.37723794593e-312,7.377237946323e-312,7.37723794672e-312,7.377237947114e-312,7.37723794751e-312
1144,2.0,7.3772379483e-312,7.377237948695e-312,7.37723794909e-312,7.377237949485e-312,7.37723794988e-312,7.377237950276e-312,7.37723795067e-312,7.377237951066e-312,7.37723795146e-312
1145,2.0,7.37723795225e-312,7.377237952647e-312,7.37723795304e-312,7.37723795344e-312,7.377237953833e-312,7.37723795423e-312,7.377237954623e-312,7.37723795502e-312,7.377237955414e-312
1146,2.0,7.377237956204e-312,7.3772379566e-312,7.377237956995e-312,7.37723795739e-312,7.377237957785e-312,7.37723795818e-312,7.377237958576e-312,7.37723795897e-312,7.377237797787e-312
1147,2.0,7.37723779858e-312,7.377237798973e-312,7.37723779937e-312,7.377237799764e-312,7.37723780016e-312,7.377237800554e-312,7.37723780095e-312,7.377237801345e-312,7.37723780174e-312
1148,2.0,7.37723780253e-312,7.377237802926e-312,7.37723780332e-312,7.377237803716e-312,7.37723780411e-312,7.377237804507e-312,7.3772378049e-312,7.377237805297e-312,7.37723780569e-312
1149,2.0,7.377237806483e-312,7.37723780688e-312,7.377237807273e-312,7.37723780767e-312,7.377237808064e-312,7.37723780846e-312,7.377237808854e-312,7.37723780925e-312,7.377237809645e-312
1150,2.0,7.377237810435e-312,7.37723781083e-312,7.377237811226e-312,7.37723781162e-312,7.377237812016e-312,7.37723781241e-312,7.377237812807e-312,7.3772378132e-312,7.377237813597e-312
1151,2.0,7.37723781439e-312,7.377237814783e-312,7.37723781518e-312,7.377237815574e-312,7.37723781597e-312,7.377237816364e-312,7.37723781676e-312,7.377237817155e-312,7.37723781755e-312
1152,2.0,7.37723781834e-312,7.377237818736e-312,7.37723781913e-312,7.377237819526e-312,7.37723781992e-312,7.377237820317e-312,7.37723782071e-312,7.377237821107e-312,7.3772378215e-312
1153,2.0,7.377237822293e-312,7.37723782269e-312,7.377237823083e-312,7.37723782348e-312,7.377237823874e-312,7.37723782427e-312,7.377237824664e-312,7.37723782506e-312,7.377237825455e-312
1154,2.0,7.377237826245e-312,7.37723782664e-312,7.377237827036e-312,7.37723782743e-312,7.377237827826e-312,7.37723782822e-312,7.377237828617e-312,7.37723782901e-312,7.377237829407e-312
1155,2.0,7.3772378302e-312,7.377237830593e-312,7.37723783099e-312,7.377237831384e-312,7.37723783178e-312,7.377237832174e-312,7.37723783257e-312,7.377237832965e-312,7.37723783336e-312
1156,2.0,7.37723783415e-312,7.377237834546e-312,7.37723783494e-312,7.377237835336e-312,7.37723783573e-312,7.377237836127e-312,7.37723783652e-312,7.377237836917e-312,7.377237837312e-312
1157,2.0,7.377237838103e-312,7.3772378385e-312,7.377237838894e-312,7.37723783929e-312,7.377237839684e-312,7.37723784008e-312,7.377237840475e-312,7.37723784087e-312,7.377237841265e-312
1158,2.0,7.37722645973e-312,7.377237842056e-312,7.37723784245e-312,7.377237842846e-312,7.37723784324e-312,7.377237843637e-312,7.37723784403e-312,7.377237844427e-312,7.37723784482e-312
1159,2.0,7.377237845613e-312,7.37723784601e-312,7.377237846403e-312,7.3772378468e-312,7.377237847194e-312,7.37723784759e-312,7.377237847984e-312,7.37723784838e-312,7.377237848775e-312
1160,2.0,7.377237849565e-312,7.37723784996e-312,7.377237850356e-312,7.37723785075e-312,7.377237851146e-312,7.37723785154e-312,7.377237851937e-312,7.37723785233e-312,7.377237852727e-312
1161,2.0,7.37723785352e-312,7.377237853913e-312,7.37723785431e-312,7.377237854704e-312,7.3772378551e-312,7.377237855494e-312,7.37723785589e-312,7.377237856285e-312,7.37723785668e-312
1162,2.0,7.37723785747e-312,7.377237857866e-312,7.37723785826e-312,7.377237858656e-312,7.37723785905e-312,7.377237859447e-312,7.37723785984e-312,7.377237860237e-312,7.37723786063e-312
1163,2.0,7.377237861423e-312,7.37723786182e-312,7.377237862213e-312,7.37723786261e-312,7.377237863004e-312,7.3772378634e-312,7.377237863794e-312,7.37723786419e-312,7.377237864585e-312
1164,2.0,7.377237865375e-312,7.37723786577e-312,7.377237866166e-312,7.37723786656e-312,7.377237866956e-312,7.37723786735e-312,7.377237867747e-312,7.37723786814e-312,7.377237868537e-312
1165,2.0,7.37723786933e-312,7.377237869723e-312,7.37723787012e-312,7.377237870514e-312,7.37723787091e-312,7.377237871304e-312,7.3772378717e-312,7.377237872095e-312,7.37723787249e-312
1166,2.0,7.37723787328e-312,7.377237873676e-312,7.37723787407e-312,7.377237874466e-312,7.37723787486e-312,7.377237875257e-312,7.37723787565e-312,7.377237876047e-312,7.377237876442e-312
1167,2.0,7.377237877233e-312,7.37723787763e-312,7.377237878024e-312,7.37723771684e-312,7.377237717235e-312,7.37723771763e-312,7.377237718025e-312,7.37723771842e-312,7.377237718816e-312
1168,2.0,7.377237719606e-312,7.37723772e-312,7.377237720397e-312,7.37723772079e-312,7.377237721187e-312,7.377237721583e-312,7.37723772198e-312,7.377237722373e-312,7.37723772277e-312
1169,2.0,7.37723772356e-312,7.377237723954e-312,7.37723772435e-312,7.377237724745e-312,7.37723772514e-312,7.377237725535e-312,7.37723772593e-312,7.377237726326e-312,7.37723772672e-312
1170,2.0,7.37723772751e-312,7.377237727907e-312,7.3772377283e-312,7.377237728697e-312,7.37723772909e-312,7.37723772949e-312,7.377237729883e-312,7.37723773028e-312,7.377237730673e-312
1171,2.0,7.377237731464e-312,7.37723773186e-312,7.377237732254e-312,7.37723773265e-312,7.377237733045e-312,7.37723773344e-312,7.377237733835e-312,7.37723773423e-312,7.377237734626e-312
1172,2.0,7.377237735416e-312,7.37723773581e-312,7.377237736207e-312,7.3772377366e-312,7.377237736997e-312,7.377237737393e-312,7.37723773779e-312,7.377237738183e-312,7.37723773858e-312
1173,2.0,7.37723773937e-312,7.377237739764e-312,7.37723774016e-312,7.377237740555e-312,7.37723774095e-312,7.377237741345e-312,7.37723774174e-312,7.377237742136e-312,7.37723774253e-312
1174,2.0,7.37723774332e-312,7.377237743717e-312,7.37723774411e-312,7.377237744507e-312,7.3772377449e-312,7.3772377453e-312,7.377237745693e-312,7.37723774609e-312,7.377237746483e-312
1175,2.0,7.377237747274e-312,7.37723774767e-312,7.377237748064e-312,7.37723774846e-312,7.377237748855e-312,7.37723774925e-312,7.377237749645e-312,7.37723775004e-312,7.377237750436e-312
1176,2.0,7.377237751226e-312,7.37723775162e-312,7.377237752017e-312,7.37723775241e-312,7.377237752808e-312,7.377237753203e-312,7.3772377536e-312,7.377237753993e-312,7.37723775439e-312
1177,2.0,7.37723775518e-312,7.377237755574e-312,7.37723775597e-312,7.377237756365e-312,7.37723775676e-312,7.377237757155e-312,7.37723775755e-312,7.377237757946e-312,7.37723775834e-312
1178,2.0,7.37723775913e-312,7.377237759527e-312,7.37723775992e-312,7.377237760317e-312,7.377237760713e-312,7.37723776111e-312,7.377237761503e-312,7.3772377619e-312,7.377237762294e-312
1179,2.0,7.377237763084e-312,7.37723776348e-312,7.377237763875e-312,7.37723776427e-312,7.377237764665e-312,7.37723776506e-312,7.377237765456e-312,7.37723776585e-312,7.377237766246e-312
1180,2.0,7.377237767037e-312,7.37723776743e-312,7.377237767827e-312,7.37723776822e-312,7.37723776862e-312,7.377237769013e-312,7.37723776941e-312,7.377237769803e-312,7.3772377702e-312
1181,2.0,7.37723777099e-312,7.377237771384e-312,7.37723777178e-312,7.377237772175e-312,7.37723777257e-312,7.377237772965e-312,7.37723777336e-312,7.377237773756e-312,7.37723777415e-312
1182,2.0,7.37723777494e-312,7.377237775337e-312,7.37723777573e-312,7.377237776127e-312,7.377237776523e-312,7.37723777692e-312,7.377237777313e-312,7.37723777771e-312,7.377237778104e-312
1183,2.0,7.377237778894e-312,7.37723777929e-312,7.377237779685e-312,7.37723778008e-312,7.377237780475e-312,7.37723778087e-312,7.377237781266e-312,7.37723778166e-312,7.377237782056e-312
1184,2.0,7.377237782847e-312,7.37723778324e-312,7.377237783637e-312,7.37723778403e-312,7.37723778443e-312,7.377237784823e-312,7.37723778522e-312,7.377237785613e-312,7.37723778601e-312
1185,2.0,7.3772377868e-312,7.377237787194e-312,7.37723778759e-312,7.377237787985e-312,7.37723778838e-312,7.377237788775e-312,7.37723778917e-312,7.377237789566e-312,7.37723778996e-312
1186,2.0,7.37723779075e-312,7.377237791147e-312,7.37723779154e-312,7.377237791938e-312,7.377237792333e-312,7.37723779273e-312,7.377237793123e-312,7.37723779352e-312,7.377237793914e-312
1187,2.0,7.377237794704e-312,7.3772377951e-312,7.377237795495e-312,7.37723779589e-312,7.377237796285e-312,7.37723779668e-312,7.377237797076e-312,7.37723763589e-312,7.377237636287e-312
1188,2.0,7.37723763708e-312,7.377237637473e-312,7.37723763787e-312,7.377237638263e-312,7.37723763866e-312,7.377237639054e-312,7.37723763945e-312,7.377237639844e-312,7.37723764024e-312
1189,2.0,7.37723764103e-312,7.377237641425e-312,7.37723764182e-312,7.377237642216e-312,7.37723764261e-312,7.377237643006e-312,7.3772376434e-312,7.377237643797e-312,7.37723764419e-312
1190,2.0,7.377237644983e-312,7.37723764538e-312,7.377237645773e-312,7.37723764617e-312,7.377237646564e-312,7.37723764696e-312,7.377237647354e-312,7.37723764775e-312,7.377237648145e-312
1191,2.0,7.377237648935e-312,7.37723764933e-312,7.377237649726e-312,7.37723765012e-312,7.377237650516e-312,7.37723765091e-312,7.377237651307e-312,7.3772376517e-312,7.377237652097e-312
1192,2.0,7.37723765289e-312,7.377237653283e-312,7.37723765368e-312,7.377237654073e-312,7.37723765447e-312,7.377237654864e-312,7.37723765526e-312,7.377237655654e-312,7.37723765605e-312
1193,2.0,7.37723765684e-312,7.377237657235e-312,7.37723765763e-312,7.377237658026e-312,7.37723765842e-312,7.377237658816e-312,7.37723765921e-312,7.377237659607e-312,7.37723766e-312
1194,2.0,7.377237660793e-312,7.37723766119e-312,7.377237661583e-312,7.37723766198e-312,7.377237662374e-312,7.37723766277e-312,7.377237663164e-312,7.37723766356e-312,7.377237663955e-312
1195,2.0,7.377237664745e-312,7.37723766514e-312,7.377237665536e-312,7.37723766593e-312,7.377237666326e-312,7.37723766672e-312,7.377237667117e-312,7.37723766751e-312,7.377237667907e-312
1196,2.0,7.3772376687e-312,7.377237669093e-312,7.37723766949e-312,7.377237669884e-312,7.37723767028e-312,7.377237670674e-312,7.37723767107e-312,7.377237671465e-312,7.37723767186e-312
1197,2.0,7.37723767265e-312,7.377237673046e-312,7.37723767344e-312,7.377237673836e-312,7.37723767423e-312,7.377237674627e-312,7.37723767502e-312,7.377237675417e-312,7.37723767581e-312
1198,2.0,7.377237676603e-312,7.377237677e-312,7.377237677393e-312,7.37723767779e-312,7.377237678184e-312,7.37723767858e-312,7.377237678974e-312,7.37723767937e-312,7.377237679765e-312
1199,2.0,7.377237680555e-312,7.37723768095e-312,7.377237681346e-312,7.37723768174e-312,7.377237682136e-312,7.37723768253e-312,7.377237682927e-312,7.37723768332e-312,7.377237683717e-312
1200,2.0,7.37723768451e-312,7.377237684903e-312,7.3772376853e-312,7.377237685694e-312,7.37723768609e-312,7.377237686484e-312,7.37723768688e-312,7.377237687275e-312,7.37723768767e-312
1201,2.0,7.37723768846e-312,7.377237688856e-312,7.37723768925e-312,7.377237689646e-312,7.37723769004e-312,7.377237690437e-312,7.37723769083e-312,7.377237691227e-312,7.37723769162e-312
1202,2.0,7.377237692413e-312,7.37723769281e-312,7.377237693203e-312,7.3772376936e-312,7.377237693994e-312,7.37723769439e-312,7.377237694784e-312,7.37723769518e-312,7.377237695575e-312
1203,2.0,7.377237696365e-312,7.37723769676e-312,7.377237697156e-312,7.37723769755e-312,7.377237697946e-312,7.37723769834e-312,7.377237698737e-312,7.37723769913e-312,7.377237699527e-312
1204,2.0,7.37723770032e-312,7.377237700713e-312,7.37723770111e-312,7.377237701504e-312,7.3772377019e-312,7.377237702294e-312,7.37723770269e-312,7.377237703085e-312,7.37723770348e-312
1205,2.0,7.37723770427e-312,7.377237704666e-312,7.37723770506e-312,7.377237705456e-312,7.37723770585e-312,7.377237706247e-312,7.37723770664e-312,7.377237707037e-312,7.377237707433e-312
1206,2.0,7.377237708223e-312,7.37723770862e-312,7.377237709014e-312,7.37723770941e-312,7.377237709804e-312,7.3772377102e-312,7.377237710595e-312,7.37723771099e-312,7.377237711385e-312
1207,2.0,7.377237712176e-312,7.37723771257e-312,7.377237712966e-312,7.37723771336e-312,7.377237713757e-312,7.37723771415e-312,7.377237714547e-312,7.37723771494e-312,7.37723771534e-312
1208,2.0,7.37723771613e-312,7.377237554944e-312,7.37723755534e-312,7.377237555735e-312,7.37723755613e-312,7.377237556525e-312,7.37723755692e-312,7.377237557316e-312,7.37723755771e-312
1209,2.0,7.3772375585e-312,7.377237558897e-312,7.37723755929e-312,7.377237559687e-312,7.37723756008e-312,7.37723756048e-312,7.377237560873e-312,7.37723756127e-312,7.377237561663e-312
1210,2.0,7.377237562454e-312,7.37723756285e-312,7.377237563244e-312,7.37723756364e-312,7.377237564035e-312,7.37723756443e-312,7.377237564825e-312,7.37723756522e-312,7.377237565616e-312
1211,2.0,7.377237566406e-312,7.3772375668e-312,7.377237567197e-312,7.37723756759e-312,7.377237567987e-312,7.377237568383e-312,7.37723756878e-312,7.377237569173e-312,7.37723756957e-312
1212,2.0,7.37723757036e-312,7.377237570754e-312,7.37723757115e-312,7.377237571545e-312,7.37723757194e-312,7.377237572335e-312,7.37723757273e-312,7.377237573126e-312,7.37723757352e-312
1213,2.0,7.37723757431e-312,7.377237574707e-312,7.3772375751e-312,7.377237575497e-312,7.377237575892e-312,7.37723757629e-312,7.377237576683e-312,7.37723757708e-312,7.377237577473e-312
1214,2.0,7.377237578264e-312,7.37723757866e-312,7.377237579055e-312,7.37723757945e-312,7.377237579845e-312,7.37723758024e-312,7.377237580636e-312,7.37723758103e-312,7.377237581426e-312
1215,2.0,7.377237582217e-312,7.37723758261e-312,7.377237583007e-312,7.3772375834e-312,7.3772375838e-312,7.377237584193e-312,7.37723758459e-312,7.377237584983e-312,7.37723758538e-312
1216,2.0,7.37723758617e-312,7.377237586564e-312,7.37723758696e-312,7.377237587355e-312,7.37723758775e-312,7.377237588145e-312,7.37723758854e-312,7.377237588936e-312,7.37723758933e-312
1217,2.0,7.37723759012e-312,7.377237590517e-312,7.37723759091e-312,7.377237591307e-312,7.377237591703e-312,7.3772375921e-312,7.377237592493e-312,7.37723759289e-312,7.377237593284e-312
1218,2.0,7.377237594074e-312,7.37723759447e-312,7.377237594865e-312,7.37723759526e-312,7.377237595655e-312,7.37723759605e-312,7.377237596446e-312,7.37723759684e-312,7.377237597236e-312
1219,2.0,7.377237598027e-312,7.37723759842e-312,7.377237598817e-312,7.37723759921e-312,7.37723759961e-312,7.377237600003e-312,7.3772376004e-312,7.377237600793e-312,7.37723760119e-312
1220,2.0,7.37723760198e-312,7.377237602374e-312,7.37723760277e-312,7.377237603165e-312,7.37723760356e-312,7.377237603955e-312,7.37723760435e-312,7.377237604746e-312,7.37723760514e-312
1221,2.0,7.37723760593e-312,7.377237606327e-312,7.37723760672e-312,7.377237607117e-312,7.377237607513e-312,7.37723760791e-312,7.377237608303e-312,7.3772376087e-312,7.377237609094e-312
1222,2.0,7.377237609884e-312,7.37723761028e-312,7.377237610675e-312,7.37723761107e-312,7.377237611465e-312,7.37723761186e-312,7.377237612256e-312,7.37723761265e-312,7.377237613046e-312
1223,2.0,7.377237613837e-312,7.37723761423e-312,7.377237614627e-312,7.377237615022e-312,7.37723761542e-312,7.377237615813e-312,7.37723761621e-312,7.377237616603e-312,7.377237617e-312
1224,2.0,7.37723761779e-312,7.377237618184e-312,7.37723761858e-312,7.377237618975e-312,7.37723761937e-312,7.377237619766e-312,7.37723762016e-312,7.377237620556e-312,7.37723762095e-312
1225,2.0,7.37723762174e-312,7.377237622137e-312,7.37723762253e-312,7.37723762293e-312,7.377237623323e-312,7.37723762372e-312,7.377237624113e-312,7.37723762451e-312,7.377237624904e-312
1226,2.0,7.377237625694e-312,7.37723762609e-312,7.377237626485e-312,7.37723762688e-312,7.377237627275e-312,7.37723762767e-312,7.377237628066e-312,7.37723762846e-312,7.377237628856e-312
1227,2.0,7.377237629647e-312,7.37723763004e-312,7.377237630437e-312,7.377237630833e-312,7.37723763123e-312,7.377237631623e-312,7.37723763202e-312,7.377237632414e-312,7.37723763281e-312
1228,2.0,7.3772376336e-312,7.377237633995e-312,7.37723763439e-312,7.377237634785e-312,7.37723763518e-312,7.377237473996e-312,7.37723747439e-312,7.377237474787e-312,7.37723747518e-312
1229,2.0,7.377237475973e-312,7.37723747637e-312,7.377237476763e-312,7.37723747716e-312,7.377237477554e-312,7.37723747795e-312,7.377237478344e-312,7.37723747874e-312,7.377237479135e-312
1230,2.0,7.377237479925e-312,7.37723748032e-312,7.377237480716e-312,7.37723748111e-312,7.377237481506e-312,7.3772374819e-312,7.377237482297e-312,7.37723748269e-312,7.377237483087e-312
1231,2.0,7.37723748388e-312,7.377237484273e-312,7.37723748467e-312,7.377237485063e-312,7.37723748546e-312,7.377237485854e-312,7.37723748625e-312,7.377237486644e-312,7.37723748704e-312
1232,2.0,7.37723748783e-312,7.377237488225e-312,7.37723748862e-312,7.377237489016e-312,7.37723748941e-312,7.377237489806e-312,7.3772374902e-312,7.377237490597e-312,7.37723749099e-312
1233,2.0,7.377237491783e-312,7.37723749218e-312,7.377237492573e-312,7.37723749297e-312,7.377237493364e-312,7.37723749376e-312,7.377237494154e-312,7.37723749455e-312,7.377237494945e-312
1234,2.0,7.377237495735e-312,7.37723749613e-312,7.377237496526e-312,7.37723749692e-312,7.377237497316e-312,7.37723749771e-312,7.377237498107e-312,7.3772374985e-312,7.377237498897e-312
1235,2.0,7.37723749969e-312,7.377237500083e-312,7.37723750048e-312,7.377237500874e-312,7.37723750127e-312,7.377237501664e-312,7.37723750206e-312,7.377237502455e-312,7.37723750285e-312
1236,2.0,7.37723750364e-312,7.377237504036e-312,7.37723750443e-312,7.377237504826e-312,7.37723750522e-312,7.377237505617e-312,7.37723750601e-312,7.377237506407e-312,7.3772375068e-312
1237,2.0,7.377237507593e-312,7.37723750799e-312,7.377237508383e-312,7.37723750878e-312,7.377237509174e-312,7.37723750957e-312,7.377237509964e-312,7.37723751036e-312,7.377237510755e-312
1238,2.0,7.377237511545e-312,7.37723751194e-312,7.377237512336e-312,7.37723751273e-312,7.377237513126e-312,7.37723751352e-312,7.377237513917e-312,7.37723751431e-312,7.377237514707e-312
1239,2.0,7.3772375155e-312,7.377237515893e-312,7.37723751629e-312,7.377237516684e-312,7.37723751708e-312,7.377237517474e-312,7.37723751787e-312,7.377237518265e-312,7.37723751866e-312
1240,2.0,7.37723751945e-312,7.377237519846e-312,7.37723752024e-312,7.377237520636e-312,7.37723752103e-312,7.377237521427e-312,7.37723752182e-312,7.377237522217e-312,7.37723752261e-312
1241,2.0,7.377237523403e-312,7.3772375238e-312,7.377237524193e-312,7.37723752459e-312,7.377237524984e-312,7.37723752538e-312,7.377237525774e-312,7.37723752617e-312,7.377237526565e-312
1242,2.0,7.377237527355e-312,7.37723752775e-312,7.377237528146e-312,7.37723752854e-312,7.377237528936e-312,7.37723752933e-312,7.377237529727e-312,7.37723753012e-312,7.377237530517e-312
1243,2.0,7.37723753131e-312,7.377237531703e-312,7.3772375321e-312,7.377237532494e-312,7.37723753289e-312,7.377237533284e-312,7.37723753368e-312,7.377237534075e-312,7.37723753447e-312
1244,2.0,7.37723753526e-312,7.377237535656e-312,7.37723753605e-312,7.377237536446e-312,7.37723753684e-312,7.377237537237e-312,7.37723753763e-312,7.377237538027e-312,7.377237538423e-312
1245,2.0,7.377237539213e-312,7.37723753961e-312,7.377237540004e-312,7.3772375404e-312,7.377237540794e-312,7.37723754119e-312,7.377237541585e-312,7.37723754198e-312,7.377237542375e-312
1246,2.0,7.377237543166e-312,7.37723754356e-312,7.377237543956e-312,7.37723754435e-312,7.377237544747e-312,7.37723754514e-312,7.377237545537e-312,7.37723754593e-312,7.37723754633e-312
1247,2.0,7.37723754712e-312,7.377237547513e-312,7.37723754791e-312,7.377237548304e-312,7.3772375487e-312,7.377237549094e-312,7.37723754949e-312,7.377237549885e-312,7.37723755028e-312
1248,2.0,7.37723755107e-312,7.377237551466e-312,7.37723755186e-312,7.377237552256e-312,7.37723755265e-312,7.377237553047e-312,7.37723755344e-312,7.377237553837e-312,7.377237554233e-312
1249,2.0,7.377237393444e-312,7.37723739384e-312,7.377237394234e-312,7.37723739463e-312,7.377237395025e-312,7.37723739542e-312,7.377237395815e-312,7.37723739621e-312,7.377237396606e-312
1250,2.0,7.377237397396e-312,7.37723739779e-312,7.377237398187e-312,7.37723739858e-312,7.377237398977e-312,7.377237399373e-312,7.37723739977e-312,7.377237400163e-312,7.37723740056e-312
1251,2.0,7.37723740135e-312,7.377237401744e-312,7.37723740214e-312,7.377237402535e-312,7.37723740293e-312,7.377237403325e-312,7.37723740372e-312,7.377237404116e-312,7.37723740451e-312
1252,2.0,7.3772374053e-312,7.377237405697e-312,7.37723740609e-312,7.377237406487e-312,7.377237406883e-312,7.37723740728e-312,7.377237407673e-312,7.37723740807e-312,7.377237408464e-312
1253,2.0,7.377237409254e-312,7.37723740965e-312,7.377237410045e-312,7.37723741044e-312,7.377237410835e-312,7.37723741123e-312,7.377237411626e-312,7.37723741202e-312,7.377237412416e-312
1254,2.0,7.377237413207e-312,7.3772374136e-312,7.377237413997e-312,7.37723741439e-312,7.37723741479e-312,7.377237415183e-312,7.37723741558e-312,7.377237415973e-312,7.37723741637e-312
1255,2.0,7.37723741716e-312,7.377237417554e-312,7.37723741795e-312,7.377237418345e-312,7.37723741874e-312,7.377237419135e-312,7.37723741953e-312,7.377237419926e-312,7.37723742032e-312
1256,2.0,7.37723742111e-312,7.377237421507e-312,7.3772374219e-312,7.377237422297e-312,7.377237422693e-312,7.37723742309e-312,7.377237423483e-312,7.37723742388e-312,7.377237424274e-312
1257,2.0,7.377237425064e-312,7.37723742546e-312,7.377237425855e-312,7.37723742625e-312,7.377237426645e-312,7.37723742704e-312,7.377237427436e-312,7.37723742783e-312,7.377237428226e-312
1258,2.0,7.377237429017e-312,7.37723742941e-312,7.377237429807e-312,7.3772374302e-312,7.3772374306e-312,7.377237430993e-312,7.37723743139e-312,7.377237431783e-312,7.37723743218e-312
1259,2.0,7.37723743297e-312,7.377237433364e-312,7.37723743376e-312,7.377237434155e-312,7.37723743455e-312,7.377237434945e-312,7.37723743534e-312,7.377237435736e-312,7.37723743613e-312
1260,2.0,7.37723743692e-312,7.377237437317e-312,7.37723743771e-312,7.377237438107e-312,7.377237438503e-312,7.3772374389e-312,7.377237439293e-312,7.37723743969e-312,7.377237440084e-312
1261,2.0,7.377237440874e-312,7.37723744127e-312,7.377237441665e-312,7.37723744206e-312,7.377237442455e-312,7.37723744285e-312,7.377237443246e-312,7.37723744364e-312,7.377237444036e-312
1262,2.0,7.377237444827e-312,7.37723744522e-312,7.377237445617e-312,7.377237446013e-312,7.37723744641e-312,7.377237446803e-312,7.3772374472e-312,7.377237447594e-312,7.37723744799e-312
1263,2.0,7.37723744878e-312,7.377237449175e-312,7.37723744957e-312,7.377237449965e-312,7.37723745036e-312,7.377237450756e-312,7.37723745115e-312,7.377237451546e-312,7.37723745194e-312
1264,2.0,7.37723745273e-312,7.377237453127e-312,7.37723745352e-312,7.37723745392e-312,7.377237454313e-312,7.37723745471e-312,7.377237455103e-312,7.3772374555e-312,7.377237455894e-312
1265,2.0,7.377237456684e-312,7.37723745708e-312,7.377237457475e-312,7.37723745787e-312,7.377237458265e-312,7.37723745866e-312,7.377237459056e-312,7.37723745945e-312,7.377237459846e-312
1266,2.0,7.377237460637e-312,7.37723746103e-312,7.377237461427e-312,7.377237461823e-312,7.37723746222e-312,7.377237462613e-312,7.37723746301e-312,7.377237463404e-312,7.3772374638e-312
1267,2.0,7.37723746459e-312,7.377237464985e-312,7.37723746538e-312,7.377237465775e-312,7.37723746617e-312,7.377237466566e-312,7.37723746696e-312,7.377237467356e-312,7.37723746775e-312
1268,2.0,7.37723746854e-312,7.377237468937e-312,7.37723746933e-312,7.37723746973e-312,7.377237470123e-312,7.37723747052e-312,7.377237470913e-312,7.37723747131e-312,7.377237471704e-312
1269,2.0,7.377237472494e-312,7.37723747289e-312,7.377237473285e-312,7.3772373121e-312,7.377237312496e-312,7.37723731289e-312,7.377237313287e-312,7.37723731368e-312,7.377237314077e-312
1270,2.0,7.37723731487e-312,7.377226459415e-312,7.377237315263e-312,7.37723731566e-312,7.377237316053e-312,7.37723731645e-312,7.377237316844e-312,7.37723731724e-312,7.377237317634e-312
1271,2.0,7.377237318425e-312,7.37723731882e-312,7.377237319215e-312,7.37723731961e-312,7.377237320006e-312,7.3772373204e-312,7.377237320797e-312,7.37723732119e-312,7.377237321587e-312
1272,2.0,7.377237322378e-312,7.377237322773e-312,7.37723732317e-312,7.377237323563e-312,7.37723732396e-312,7.377237324354e-312,7.37723732475e-312,7.377237325144e-312,7.37723732554e-312
1273,2.0,7.37723732633e-312,7.377237326725e-312,7.37723732712e-312,7.377237327516e-312,7.37723732791e-312,7.377237328306e-312,7.3772373287e-312,7.377237329097e-312,7.37723732949e-312
1274,2.0,7.377237330283e-312,7.37723733068e-312,7.377237331073e-312,7.37723733147e-312,7.377237331864e-312,7.37723733226e-312,7.377237332654e-312,7.37723733305e-312,7.377237333445e-312
1275,2.0,7.377237334235e-312,7.37723733463e-312,7.377237335026e-312,7.37723733542e-312,7.377237335816e-312,7.37723733621e-312,7.377237336607e-312,7.377237337e-312,7.377237337397e-312
1276,2.0,7.37723733819e-312,7.377237338583e-312,7.37723733898e-312,7.377237339373e-312,7.37723733977e-312,7.377237340164e-312,7.37723734056e-312,7.377237340954e-312,7.37723734135e-312
1277,2.0,7.37723734214e-312,7.377237342535e-312,7.37723734293e-312,7.377237343326e-312,7.37723734372e-312,7.377237344116e-312,7.37723734451e-312,7.377237344907e-312,7.3772373453e-312
1278,2.0,7.377237346093e-312,7.37723734649e-312,7.377237346883e-312,7.37723734728e-312,7.377237347674e-312,7.37723734807e-312,7.377237348464e-312,7.37723734886e-312,7.377237349255e-312
1279,2.0,7.377237350045e-312,7.37723735044e-312,7.377237350836e-312,7.37723735123e-312,7.377237351626e-312,7.37723735202e-312,7.377237352417e-312,7.37723735281e-312,7.377237353207e-312
1280,2.0,7.377237354e-312,7.377237354393e-312,7.37723735479e-312,7.377237355183e-312,7.37723735558e-312,7.377237355974e-312,7.37723735637e-312,7.377237356764e-312,7.37723735716e-312
1281,2.0,7.37723735795e-312,7.377237358345e-312,7.37723735874e-312,7.377237359136e-312,7.37723735953e-312,7.377237359927e-312,7.37723736032e-312,7.377237360717e-312,7.37723736111e-312
1282,2.0,7.377237361903e-312,7.3772373623e-312,7.377237362693e-312,7.37723736309e-312,7.377237363484e-312,7.37723736388e-312,7.377237364274e-312,7.37723736467e-312,7.377237365065e-312
