RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Type
13.407850467289718,1.69759687803e-313,2.7585947735e-313,5.583e-321,1.150786776386e-311,6.1136e-320,0.0,1.18831764853e-312,1.150786776133e-311,6.1126e-320
72.65093457943925,5.593e-321,1.150786776133e-311,6.1126e-320,1.1507867760383e-311,5.6e-321,1.150786776133e-311,1.0397779987e-312,1.150786776054e-311,5.603e-321
0.05700934579439253,6.1126e-320,1.15078677607e-311,5.61e-321,1.150786776133e-311,6.1126e-320,1.1507867760857e-311,1.20953760648e-312,1.150786776133e-311,6.1126e-320
2.7803738317757007,1.2e-322,1.150714785895e-311,5e-324,0.0,3.1829939317e-313,4.2439918272e-313,1.08221785351e-312,1.150714785895e-311,5e-324
0.17504672897196263,3.1829939317e-313,4.2439918272e-313,5.62e-321,1.150786776133e-311,6.1126e-320,1.1507867761173e-311,5.613e-321,1.150786776133e-311,1.06099795661e-312
13.407850467289718,5.59e-321,1.150786776307e-311,6.1136e-320,0.0,5.593e-321,1.150786776307e-311,6.1136e-320,1.150786776212e-311,1.06099790108e-312
1.444906542056075,6.1136e-320,1.150786776228e-311,5.603e-321,1.150786776307e-311,6.1136e-320,1.150786776244e-311,5.61e-321,1.150786776307e-311,1.209537661986e-312
2.684532710280374,5.627e-321,1.150786776307e-311,6.1136e-320,1.1507867762754e-311,1e-322,6.9524185228385e-310,0.0,0.0,4.88059056447e-313
72.65093457943925,1e-322,6.9524185228385e-310,0.0,0.0,4.88059056447e-313,5.72938888086e-313,5.62e-321,1.150786776307e-311,6.1136e-320
1.5183654205607477,1.145877732734e-312,1.150786776307e-311,6.1136e-320,1.1507867763545e-311,1.5e-323,1.150786776133e-311,5e-323,1.150786776307e-311,3.1829939317e-313
8.95696261682243,1.060997901e-312,1.150786776386e-311,6.1136e-320,1.1507867761964e-311,5.514e-321,1.150786776386e-311,6.1136e-320,1.15078677641e-311,5.51e-321
72.65093457943925,1.209537661986e-312,1.1507867764256e-311,5.45e-321,1.150786776386e-311,6.1136e-320,1.1507867764414e-311,1.15061138907e-311,1.150786776386e-311,0.0
1.5183654205607477,5.72938888086e-313,1.060997901066e-312,1.1507867766035e-311,6.1146e-320,0.0,5.59e-321,1.1507867766035e-311,6.1146e-320,1.150786776493e-311
0.4970560747663551,1.1507867766035e-311,1.209537661996e-312,1.1507867765086e-311,5.6e-321,1.1507867766035e-311,6.1146e-320,1.1507867765244e-311,5.603e-321,1.1507867766035e-311
8.95696261682243,1.15078677654e-311,1.082217859e-312,1.1507867766035e-311,6.1146e-320,1.150786776556e-311,5.627e-321,1.1507867766035e-311,6.1146e-320,1.150786776572e-311
1.5183654205607477,6.95241852319504e-310,0.0,1.2095376011e-312,6.36598761815e-313,7.00258635544e-313,1e-322,6.95241852319504e-310,0.0,0.0
72.65093457943925,7.00258635544e-313,5.62e-321,1.1507867766035e-311,1.08221791454e-312,1.1507867765877e-311,5.613e-321,1.1507867766035e-311,6.1146e-320,1.150786776651e-311
1.5183654205607477,1.1507867766035e-311,6.1146e-320,1.1507867766667e-311,1.209537606364e-312,1.1507867766035e-311,6.1146e-320,1.1507867766825e-311,5.51e-321,1.1507867766035e-311
2.684532710280374,1.1507867766983e-311,5.45e-321,1.1507867766035e-311,1.08221791454e-312,1.150786776714e-311,1.150786776473e-311,1.1507867766035e-311,1.2e-322,1.150716565638e-311
8.95696261682243,0.0,1.6975968781e-313,3.18299393175e-313,5.583e-321,1.1507867771647e-311,1.1458777883e-312,0.0,5.59e-321,1.1507867771647e-311
0.05700934579439253,1.1507867767774e-311,5.593e-321,1.1507867771647e-311,6.118e-320,1.150786776793e-311,1.08221785899e-312,1.1507867771647e-311,6.118e-320,1.150786776809e-311
1.444906542056075,1.1507867771647e-311,6.118e-320,1.150786776825e-311,5.61e-321,1.1507867771647e-311,1.20953766203e-312,1.1507867768406e-311,5.627e-321,1.1507867771647e-311
2.7803738317757007,1.1507867768564e-311,1.2e-322,1.1506140954745e-311,5e-324,0.0,3.60739308994e-313,5.0927901436e-313,5.583e-321,1.1507867770224e-311
8.95696261682243,0.0,5.59e-321,1.1507867770224e-311,6.1175e-320,1.150786776912e-311,5.593e-321,1.1507867770224e-311,1.01855804084e-312,1.1507867769276e-311
1.5183654205607477,1.1507867770224e-311,6.1175e-320,1.1507867769434e-311,5.603e-321,1.1507867770224e-311,6.1175e-320,1.150786776959e-311,1.10343781691e-312,1.1507867770224e-311
8.95696261682243,1.150786776975e-311,5.627e-321,1.1507867770224e-311,6.1175e-320,1.150786776991e-311,1e-322,6.9524185202528e-310,0.0,1.06099789574e-312
0.05700934579439253,6.3659876182e-313,1e-322,6.9524185202528e-310,0.0,0.0,5.3049897227e-313,6.3659876182e-313,1.082217859015e-312,1.1507867770224e-311
0.4970560747663551,1.1507867770066e-311,5.613e-321,1.1507867770224e-311,6.1175e-320,1.15078677707e-311,5.52e-321,1.1507867770224e-311,6.1175e-320,1.1507867770857e-311
0.4970560747663551,1.1507867770224e-311,6.1175e-320,1.1507867771015e-311,5.51e-321,1.1507867770224e-311,6.1175e-320,1.1507867771173e-311,5.45e-321,1.1507867770224e-311
0.17504672897196263,1.150786777133e-311,1.1e-322,1.150786776888e-311,1.1507867770224e-311,5e-324,3.60739308994e-313,6.5781871973e-313,1.2e-322,1.1506140954745e-311
1.5183654205607477,1.14587772738e-312,3.60739308994e-313,5.0927901436e-313,5.62e-321,1.1507867771647e-311,6.118e-320,1.150786776872e-311,5.613e-321,1.1507867771647e-311
1.5183654205607477,1.150786777212e-311,5.52e-321,1.1507867771647e-311,6.118e-320,1.150786777228e-311,5.514e-321,1.1507867771647e-311,6.118e-320,1.150786777244e-311
0.17504672897196263,1.1507867771647e-311,1.18831770412e-312,1.1507867772596e-311,5.45e-321,1.1507867771647e-311,6.118e-320,1.1507867772754e-311,1.150716565638e-311,1.1507867771647e-311
2.7803738317757007,1.6975968781e-313,6.5781871973e-313,5.583e-321,1.1507867774375e-311,6.119e-320,0.0,5.59e-321,1.1507867774375e-311,6.119e-320
8.95696261682243,5.593e-321,1.1507867774375e-311,1.018558040853e-312,1.1507867773426e-311,5.6e-321,1.1507867774375e-311,6.119e-320,1.1507867773584e-311,5.603e-321
8.95696261682243,6.119e-320,1.150786777374e-311,1.12465777482e-312,1.1507867774375e-311,6.119e-320,1.15078677739e-311,5.627e-321,1.1507867774375e-311,6.119e-320
1.444906542056075,1e-322,6.95241852319504e-310,0.0,1.060997895744e-312,7.2147859346e-313,7.85138467188e-313,1e-322,6.95241852319504e-310,0.0
8.95696261682243,7.2147859346e-313,7.85138467188e-313,1.082217859015e-312,1.1507867774375e-311,6.119e-320,1.1507867774216e-311,5.613e-321,1.1507867774375e-311,6.119e-320
2.7803738317757007,5.52e-321,1.1507867774375e-311,6.119e-320,1.1507867775007e-311,1.103437816816e-312,1.1507867774375e-311,6.119e-320,1.1507867775165e-311,5.51e-321
1.444906542056075,6.119e-320,1.1507867775323e-311,5.45e-321,1.1507867774375e-311,1.1246578304e-312,1.150786777548e-311,1.150786777307e-311,1.1507867774375e-311,1.2e-322
13.407850467289718,5e-324,0.0,1.69759687813e-313,2.9707943527e-313,1.209537606433e-312,1.150786777722e-311,6.121e-320,0.0,5.59e-321
8.95696261682243,6.121e-320,1.1507867776114e-311,5.593e-321,1.150786777722e-311,1.0822179146e-312,1.150786777627e-311,5.6e-321,1.150786777722e-311,6.121e-320
0.4970560747663551,5.603e-321,1.150786777722e-311,6.121e-320,1.150786777659e-311,5.61e-321,1.150786777722e-311,1.18831770415e-312,1.1507867776746e-311,5.627e-321
2.7803738317757007,6.121e-320,1.1507867776904e-311,1.2e-322,1.1507147870334e-311,5e-324,1.08221785339e-312,3.3951935109e-313,5.72938888096e-313,1.2e-322
0.17504672897196263,5e-324,0.0,3.3951935109e-313,5.72938888096e-313,5.62e-321,1.150786777722e-311,1.20953766206e-312,1.150786777706e-311,5.613e-321
2.7803738317757007,6.121e-320,1.1507867777695e-311,5.52e-321,1.150786777722e-311,6.121e-320,1.1507867777853e-311,1.082217858906e-312,1.150786777722e-311,6.121e-320
0.17504672897196263,5.51e-321,1.150786777722e-311,6.121e-320,1.150786777817e-311,5.45e-321,1.150786777722e-311,6.121e-320,1.1507867778327e-311,1.15061148412e-311
1.5183654205607477,0.0,1.69759687813e-313,5.72938888096e-313,5.583e-321,1.150786777995e-311,6.122e-320,0.0,1.08221785898e-312,1.150786777995e-311
0.05700934579439253,1.150786777884e-311,5.593e-321,1.150786777995e-311,6.122e-320,1.1507867779e-311,5.6e-321,1.150786777995e-311,6.122e-320,1.1507867779157e-311
0.05700934579439253,1.150786777995e-311,6.122e-320,1.1507867779315e-311,5.61e-321,1.150786777995e-311,6.122e-320,1.1507867779473e-311,5.627e-321,1.150786777995e-311
13.407850467289718,1.150786777963e-311,1e-322,6.95241852319504e-310,0.0,0.0,6.36598761825e-313,7.00258635554e-313,1e-322,6.95241852319504e-310
0.05700934579439253,1.14587772739e-312,6.36598761825e-313,7.00258635554e-313,5.62e-321,1.150786777995e-311,6.122e-320,1.150786777979e-311,5.613e-321,1.150786777995e-311
0.05700934579439253,1.150786778042e-311,5.52e-321,1.150786777995e-311,6.122e-320,1.150786778058e-311,5.514e-321,1.150786777995e-311,6.122e-320,1.150786778074e-311
2.684532710280374,1.150786777995e-311,1.18831770416e-312,1.1507867780896e-311,5.45e-321,1.150786777995e-311,6.122e-320,1.1507867781054e-311,1.1507867778643e-311,1.150786777995e-311
13.407850467289718,1.150786778153e-311,1.150786783228e-311,1.1507867754335e-311,1.150786775991e-311,1.150786776746e-311,1.1507867775797e-311,1.150786778137e-311,0.0,1.150786778145e-311
0.4970560747663551,0.0,1.1507867781963e-311,0.0,5e-324,1.150786778208e-311,1.150786782639e-311,1e-323,1.15078677822e-311,1.1507867824967e-311
0.4970560747663551,5e-324,1.150786778236e-311,1.1507867821054e-311,3e-323,1.1507867782477e-311,1.150786782955e-311,1.1507867835125e-311,1.150786775718e-311,1.150786776473e-311
0.4970560747663551,1.1507867778643e-311,3e-323,1.1507867782793e-311,1.1507867830856e-311,1.150786783643e-311,1.1507867758485e-311,1.1507867766035e-311,1.1507867774375e-311,1.150786777995e-311
1.444906542056075,1.150786778212e-311,0.0,1.15078677824e-311,1.1507867782714e-311,0.0,1.150786778228e-311,5.583e-321,1.1507867784414e-311,6.124e-320
1.444906542056075,5.59e-321,1.1507867784414e-311,6.124e-320,1.1507867783307e-311,1.103437816895e-312,1.1507867784414e-311,6.124e-320,1.1507867783465e-311,5.6e-321
2.7803738317757007,6.124e-320,1.1507867783623e-311,5.603e-321,1.1507867784414e-311,1.16709774627e-312,1.150786778378e-311,5.61e-321,1.1507867784414e-311,6.124e-320
72.65093457943925,5.627e-321,1.1507867784414e-311,6.124e-320,1.15078677841e-311,1.20953760097e-312,1.150639354324e-311,5e-324,0.0,1.90979645727e-313
0.4970560747663551,1.2e-322,1.150639354324e-311,5e-324,0.0,1.90979645727e-313,3.18299393185e-313,5.62e-321,1.1507867784414e-311,6.124e-320
1.444906542056075,5.613e-321,1.1507867784414e-311,6.124e-320,1.150786778489e-311,5.52e-321,1.1507867784414e-311,1.18831770418e-312,1.1507867785046e-311,5.514e-321
1.5183654205607477,6.124e-320,1.1507867785204e-311,5.51e-321,1.1507867784414e-311,6.124e-320,1.1507867785363e-311,1.16709769048e-312,1.1507867784414e-311,6.124e-320
72.65093457943925,5.81e-321,0.0,6.1254e-320,0.0,1e-322,6.95241852319504e-310,0.0,1.01855797994e-312,1.6975968782e-313
1.5183654205607477,5.776e-321,0.0,6.1254e-320,1.1507867785837e-311,5.77e-321,0.0,1.082217914647e-312,1.150786778623e-311,5.583e-321
0.17504672897196263,6.126e-320,1.150786778639e-311,5.59e-321,1.1507867787655e-311,6.126e-320,1.150786778655e-311,5.593e-321,1.1507867787655e-311,1.06099795674e-312
2.684532710280374,5.6e-321,1.1507867787655e-311,6.126e-320,1.1507867786865e-311,5.603e-321,1.1507867787655e-311,6.126e-320,1.1507867787023e-311,1.18831764855e-312
1.5183654205607477,6.126e-320,1.150786778718e-311,5.627e-321,1.1507867787655e-311,6.126e-320,1.150786778734e-311,1e-322,6.95241852319504e-310,0.0
8.95696261682243,1.6975968782e-313,2.3341956155e-313,1e-322,6.95241852319504e-310,0.0,0.0,1.6975968782e-313,2.3341956155e-313,1.082217859015e-312
2.7803738317757007,6.126e-320,1.1507867787497e-311,5.613e-321,1.1507867787655e-311,6.126e-320,1.150786778813e-311,5.52e-321,1.1507867787655e-311,6.126e-320
13.407850467289718,1.145877732635e-312,1.1507867787655e-311,6.126e-320,1.1507867788446e-311,5.51e-321,1.1507867787655e-311,6.126e-320,1.1507867788604e-311,5.45e-321
0.4970560747663551,1.1883177042e-312,1.150786778876e-311,5.415e-321,1.1507867787655e-311,6.126e-320,1.150786778892e-311,1.14e-322,1.1507867787655e-311,0.0
2.684532710280374,1.2095376011e-312,1.188317643217e-312,0.0,1.6975968782e-313,2.3341956155e-313,4.99e-321,1.1507867789236e-311,6.126e-320,1.150786778908e-311
13.407850467289718,1.150786778983e-311,1.1507867789236e-311,5.81e-321,0.0,6.1264e-320,0.0,5.776e-321,0.0,6.1264e-320
1.444906542056075,5.77e-321,0.0,1.018558040927e-312,1.1507867790027e-311,5.583e-321,0.0,6.1264e-320,1.1507867790185e-311,5.59e-321
0.17504672897196263,6.1264e-320,1.1507867790343e-311,1.209537606443e-312,0.0,6.1264e-320,1.15078677905e-311,5.6e-321,0.0,6.1264e-320
2.7803738317757007,5.603e-321,0.0,1.209537662114e-312,1.1507867790817e-311,5.61e-321,0.0,6.1264e-320,1.1507867790975e-311,5.627e-321
0.4970560747663551,6.1264e-320,1.1507867791133e-311,1.082217859015e-312,0.0,6.1264e-320,1.150786779129e-311,5.613e-321,0.0,6.1264e-320
2.684532710280374,5.52e-321,0.0,6.1264e-320,1.150786779161e-311,1.103437816816e-312,0.0,6.1264e-320,1.1507867791766e-311,5.51e-321
13.407850467289718,6.1264e-320,1.1507867791924e-311,5.45e-321,0.0,1.209537662114e-312,1.150786779208e-311,5.415e-321,0.0,6.1264e-320
1.444906542056075,4.99e-321,0.0,6.1264e-320,1.15078677924e-311,5e-324,1.1507867792793e-311,1.150786778975e-311,5e-324,1.150786779291e-311
72.65093457943925,5.405e-321,1.1507867792833e-311,6.127e-320,0.0,1.082217853397e-312,1.1506361758928e-311,1.150786778303e-311,1.1507867792833e-311,0.0
0.17504672897196263,0.0,8.487985613e-314,2.3341956155e-313,5e-324,1.1506361758928e-311,1.150786778303e-311,1.1507867792833e-311,1.150786781236e-311,1.1507867784414e-311
1.444906542056075,8.487985613e-314,2.3341956155e-313,5e-324,1.15078677939e-311,1.1507867793465e-311,1.08221785351e-312,1.150614096455e-311,5e-324,0.0
2.7803738317757007,2.7585947738e-313,5.583e-321,1.1507867840975e-311,6.128e-320,0.0,5.59e-321,1.1507867840975e-311,1.01855804094e-312,1.1507867794177e-311
0.4970560747663551,0.0,0.0,0.0,0.0,0.0,0.0,1.1034378113e-312,1.0185579799e-312,2.4e-322
2.684532710280374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01855797992e-312,1.06099789572e-312
2.684532710280374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1034378113e-312,1.0185579799e-312
0.17504672897196263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01855797992e-312
1.444906542056075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1034378113e-312
8.95696261682243,2.6e-322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5183654205607477,-5.5474873977366e-311,4.0474e-320,4.0434e-320,1.150786775386e-311,1.15078677971e-311,3e-323,1.150786779718e-311,1.150786793647e-311,1.150786794204e-311
0.4970560747663551,1.1507867955163e-311,1.1507867960973e-311,1.1507867966546e-311,0.0,1.15078677971e-311,0.0,0.0,1.1507867797615e-311,0.0
8.95696261682243,1.1507867797734e-311,1.150786793058e-311,1e-323,1.1507867797853e-311,1.1507867929155e-311,1.150786793058e-311,5e-324,1.150786779801e-311,1.150786800872e-311
1.444906542056075,1.150786779813e-311,1.150786793374e-311,1.1507867939313e-311,1.1507867944887e-311,1.1507867952436e-311,1.1507867960776e-311,1.150786796382e-311,3e-323,1.1507867798445e-311
8.95696261682243,1.150786794062e-311,1.150786794619e-311,1.150786795374e-311,0.0,1.1507867965123e-311,1.1507867797536e-311,1.1507867797774e-311,0.0,1.150786779805e-311
8.95696261682243,0.0,1.150786779793e-311,1.039777943156e-312,1.1507867800066e-311,6.0913e-320,0.0,5.59e-321,1.1507867800066e-311,6.0913e-320
0.4970560747663551,5.593e-321,1.1507867800066e-311,1.018558040577e-312,1.1507867799117e-311,5.6e-321,1.1507867800066e-311,6.0913e-320,1.1507867799275e-311,5.603e-321
2.7803738317757007,6.0913e-320,1.1507867799434e-311,1.10343781691e-312,1.1507867800066e-311,6.0913e-320,1.150786779959e-311,5.627e-321,1.1507867800066e-311,6.0913e-320
0.05700934579439253,1e-322,6.9524185228385e-310,0.0,1.01855797992e-312,1.9097964566e-313,2.75859477297e-313,1e-322,6.9524185228385e-310,0.0
1.444906542056075,1.9097964566e-313,2.75859477297e-313,5.62e-321,1.1507867800066e-311,1.039777998486e-312,1.150786779991e-311,5.613e-321,1.1507867800066e-311,6.0913e-320
0.4970560747663551,5.52e-321,1.1507867800066e-311,6.0913e-320,1.15078678007e-311,1.018557985177e-312,1.1507867800066e-311,6.0913e-320,1.1507867800856e-311,5.51e-321
1.5183654205607477,6.0913e-320,1.1507867801015e-311,5.45e-321,1.1507867800066e-311,1.103437872215e-312,1.1507867801173e-311,5.81e-321,0.0,6.093e-320
13.407850467289718,1e-322,6.95241852319504e-310,0.0,0.0,1.69759687753e-313,2.3341956148e-313,1.188317648716e-312,0.0,6.093e-320
2.684532710280374,5.77e-321,0.0,6.093e-320,1.1507867801884e-311,5.583e-321,1.1507867803307e-311,1.039777998506e-312,1.150786780204e-311,5.59e-321
1.5183654205607477,6.0933e-320,1.15078678022e-311,5.593e-321,1.1507867803307e-311,6.0933e-320,1.150786780236e-311,1.01855798526e-312,1.1507867803307e-311,6.0933e-320
1.5183654205607477,5.603e-321,1.1507867803307e-311,6.0933e-320,1.1507867802675e-311,5.61e-321,1.1507867803307e-311,1.103437872235e-312,1.1507867802833e-311,5.627e-321
13.407850467289718,6.0933e-320,1.150786780299e-311,1e-322,6.95241852319504e-310,0.0,0.0,1.69759687753e-313,2.3341956148e-313,1.06099789558e-312
0.17504672897196263,0.0,0.0,1.69759687753e-313,2.3341956148e-313,5.62e-321,1.1507867803307e-311,6.0933e-320,1.150786780315e-311,1.060997901095e-312
0.17504672897196263,6.0933e-320,1.150786780378e-311,5.52e-321,1.1507867803307e-311,6.0933e-320,1.150786780394e-311,5.514e-321,1.1507867803307e-311,1.018558040596e-312
0.05700934579439253,5.51e-321,1.1507867803307e-311,6.0933e-320,1.1507867804256e-311,5.45e-321,1.1507867803307e-311,6.0933e-320,1.1507867804414e-311,1.103437816717e-312
1.444906542056075,6.0933e-320,1.150786780457e-311,1.14e-322,1.1507867803307e-311,0.0,0.0,0.0,0.0,0.0
0.4970560747663551,2.3341956148e-313,4.99e-321,1.150786780489e-311,6.0933e-320,1.150786780473e-311,5e-324,1.150786780548e-311,1.150786780489e-311,5.81e-321
0.17504672897196263,1.06099795642e-312,0.0,5.776e-321,0.0,6.094e-320,1.150786780552e-311,5.77e-321,0.0,6.094e-320
8.95696261682243,1.018557985246e-312,0.0,6.094e-320,1.1507867805837e-311,5.59e-321,0.0,6.094e-320,1.1507867805995e-311,5.593e-321
1.444906542056075,1.10343787224e-312,1.1507867806153e-311,5.6e-321,0.0,6.094e-320,1.150786780631e-311,5.603e-321,0.0,6.094e-320
72.65093457943925,5.61e-321,0.0,1.0185580406e-312,1.1507867806627e-311,5.627e-321,0.0,6.094e-320,1.1507867806785e-311,5.62e-321
72.65093457943925,6.094e-320,1.1507867806943e-311,1.082217859005e-312,0.0,6.094e-320,1.15078678071e-311,5.52e-321,0.0,6.094e-320
1.5183654205607477,5.514e-321,0.0,1.0185580406e-312,1.150786780742e-311,5.51e-321,0.0,6.094e-320,1.1507867807576e-311,5.45e-321
0.4970560747663551,6.094e-320,1.1507867807734e-311,1.103437816717e-312,0.0,6.094e-320,1.150786780789e-311,4.99e-321,0.0,6.094e-320
2.7803738317757007,5e-324,1.1507867808445e-311,1.15078678054e-311,5e-324,1.1507867808564e-311,1.150786780489e-311,5.405e-321,1.1507867808485e-311,6.0943e-320
8.95696261682243,5e-324,1.1506361758928e-311,1.1507867798683e-311,1.1507867808485e-311,0.0,1.1507867800066e-311,0.0,8.487985606e-314,2.3341956148e-313
0.05700934579439253,1.1506361758928e-311,1.1507867798683e-311,1.1507867808485e-311,1.1507868000024e-311,1.1507867800066e-311,0.0,8.487985606e-314,2.3341956148e-313,5e-324
72.65093457943925,1.1507867809117e-311,1.2e-322,1.150614096455e-311,5e-324,1.1034378113e-312,1.06099814034e-313,2.7585947731e-313,5.583e-321,1.1507867810935e-311
0.05700934579439253,0.0,5.59e-321,1.1507867810935e-311,6.0953e-320,1.150786780983e-311,1.018557985256e-312,1.1507867810935e-311,6.0953e-320,1.1507867809987e-311
13.407850467289718,1.1507867810935e-311,6.0953e-320,1.1507867810145e-311,5.603e-321,1.1507867810935e-311,1.103437872255e-312,1.1507867810303e-311,5.61e-321,1.1507867810935e-311
2.684532710280374,1.150786781046e-311,5.627e-321,1.1507867810935e-311,6.0953e-320,1.150786781062e-311,1.2e-322,1.150614096455e-311,1.01855797967e-312,0.0
13.407850467289718,2.7585947731e-313,1.2e-322,1.150614096455e-311,5e-324,0.0,1.06099814034e-313,2.7585947731e-313,1.103437816924e-312,1.1507867810935e-311
1.444906542056075,1.1507867810777e-311,5.613e-321,1.1507867810935e-311,6.0953e-320,1.150786781141e-311,5.52e-321,1.1507867810935e-311,1.018558040616e-312,1.150786781157e-311
0.05700934579439253,1.1507867810935e-311,6.0953e-320,1.1507867811726e-311,5.51e-321,1.1507867810935e-311,6.0953e-320,1.1507867811884e-311,1.10343781675e-312,1.1507867810935e-311
1.5183654205607477,1.150786781204e-311,5e-324,1.1507867812437e-311,1.1507867810935e-311,1.2e-322,1.1506361758928e-311,5e-324,0.0,1.6975968777e-313
0.17504672897196263,1.2e-322,1.1506113593785e-311,5e-324,0.0,1.69759687773e-313,2.5463951941e-313,1.1506113593785e-311,0.0,0.0
13.407850467289718,2.5463951941e-313,1.2e-322,1.1506140341313e-311,5e-324,0.0,1.6975968778e-313,2.97079435236e-313,5.583e-321,1.1507867814493e-311
0.4970560747663551,0.0,5.59e-321,1.1507867814493e-311,6.0997e-320,1.1507867813386e-311,5.593e-321,1.1507867814493e-311,6.0997e-320,1.1507867813544e-311
1.5183654205607477,1.1507867814493e-311,6.0997e-320,1.15078678137e-311,5.603e-321,1.1507867814493e-311,6.0997e-320,1.150786781386e-311,5.61e-321,1.1507867814493e-311
2.684532710280374,1.150786781402e-311,1.18831764857e-312,1.1507867814493e-311,6.0997e-320,1.1507867814177e-311,1.2e-322,1.1507147858634e-311,5e-324,0.0
0.05700934579439253,5.5171893015e-313,1.10343781142e-312,1.1507147858634e-311,5e-324,0.0,3.39519351055e-313,5.5171893015e-313,5.62e-321,1.1507867814493e-311
1.5183654205607477,1.1507867814335e-311,1.018557985276e-312,1.1507867814493e-311,6.0997e-320,1.1507867814967e-311,5.52e-321,1.1507867814493e-311,6.0997e-320,1.1507867815125e-311
1.444906542056075,1.1507867814493e-311,1.1034378723e-312,1.1507867815283e-311,5.51e-321,1.1507867814493e-311,6.0997e-320,1.150786781544e-311,5.45e-321,1.1507867814493e-311
0.05700934579439253,1.15078678156e-311,1.1506140341313e-311,1.1507867814493e-311,0.0,1.6975968778e-313,5.5171893015e-313,1.2e-322,1.1506140341313e-311,5e-324
0.4970560747663551,1.6975968778e-313,2.97079435236e-313,1.1506140341313e-311,1.1507867814493e-311,0.0,1.6975968778e-313,5.5171893015e-313,5e-324,1.1507867816627e-311
0.4970560747663551,1.2e-322,1.1506113593785e-311,5e-324,1.01855797992e-312,1.69759687773e-313,2.5463951941e-313,1.1506113593785e-311,0.0,0.0
1.444906542056075,2.5463951941e-313,1.2e-322,1.1506140341313e-311,1.103437811307e-312,1.12465776945e-312,1.6975968778e-313,2.97079435236e-313,1.1506140341313e-311,1.1507867814493e-311
0.4970560747663551,1.6975968778e-313,5.5171893015e-313,1.2e-322,1.1506140341313e-311,1.01855797967e-312,1.145877727383e-312,1.6975968778e-313,2.97079435236e-313,1.1506140341313e-311
0.05700934579439253,0.0,1.6975968778e-313,5.5171893015e-313,5e-324,1.150786781805e-311,1.1507867816904e-311,1.2e-322,1.1506113593785e-311,5e-324
1.444906542056075,1.69759687773e-313,2.5463951941e-313,1.1506113593785e-311,0.0,0.0,1.69759687773e-313,2.5463951941e-313,1.2e-322,1.1506140341313e-311
0.05700934579439253,0.0,1.6975968778e-313,2.97079435236e-313,1.1506140341313e-311,1.1507867814493e-311,0.0,1.6975968778e-313,5.5171893015e-313,1.2e-322
2.684532710280374,5e-324,0.0,1.6975968778e-313,2.97079435236e-313,1.1506140341313e-311,1.1507867814493e-311,0.0,1.6975968778e-313,5.5171893015e-313
1.5183654205607477,1.1507867819473e-311,1.1507867818327e-311,1.2e-322,1.1506140341313e-311,5e-324,0.0,1.6975968778e-313,2.97079435236e-313,1.1506140341313e-311
1.444906542056075,0.0,1.6975968778e-313,5.5171893015e-313,5.583e-321,1.1507867821054e-311,6.1007e-320,0.0,1.01855798525e-312,1.1507867821054e-311
0.05700934579439253,1.1507867819947e-311,5.593e-321,1.1507867821054e-311,6.1007e-320,1.1507867820105e-311,5.6e-321,1.1507867821054e-311,1.10343787231e-312,1.1507867820263e-311
2.7803738317757007,1.1507867821054e-311,6.1007e-320,1.150786782042e-311,5.61e-321,1.1507867821054e-311,6.1007e-320,1.150786782058e-311,5.627e-321,1.1507867821054e-311
13.407850467289718,1.150786782074e-311,1e-322,6.95241852319504e-310,0.0,0.0,6.1537880388e-313,6.7903867761e-313,1e-322,6.95241852319504e-310
1.444906542056075,2.6e-322,6.1537880388e-313,6.7903867761e-313,5.62e-321,1.1507867821054e-311,6.1007e-320,1.1507867820896e-311,5.613e-321,1.1507867821054e-311
2.684532710280374,1.150786782153e-311,5.52e-321,1.1507867821054e-311,6.1007e-320,1.1507867821686e-311,5.514e-321,1.1507867821054e-311,6.1007e-320,1.1507867821844e-311
0.05700934579439253,1.1507867821054e-311,6.1007e-320,1.1507867822003e-311,5.45e-321,1.1507867821054e-311,6.1007e-320,1.150786782216e-311,1.150786781975e-311,1.1507867821054e-311
1.5183654205607477,1.1507867822635e-311,1.1507867822477e-311,1.2e-322,1.1506113593785e-311,5e-324,0.0,1.69759687773e-313,2.5463951941e-313,1.1506113593785e-311
2.684532710280374,0.0,1.69759687773e-313,2.5463951941e-313,1.2e-322,1.1506140341313e-311,5e-324,0.0,1.6975968778e-313,2.97079435236e-313
1.444906542056075,1.1507867814493e-311,0.0,1.6975968778e-313,5.5171893015e-313,1.2e-322,1.1506140341313e-311,5e-324,0.0,1.6975968778e-313
0.05700934579439253,1.1506140341313e-311,1.1507867814493e-311,0.0,1.6975968778e-313,5.5171893015e-313,5e-324,1.150786782406e-311,1.150786782291e-311,1.2e-322
0.17504672897196263,5e-324,0.0,1.6975968778e-313,2.97079435236e-313,1.1506140341313e-311,1.1507867814493e-311,0.0,1.6975968778e-313,5.5171893015e-313
8.95696261682243,1.1507867821054e-311,5e-324,1.150786782469e-311,1.150786782453e-311,1.2e-322,1.1506113593785e-311,5e-324,0.0,1.69759687773e-313
